Manufacturer Disclosure Statement for Medical Device Security -- MDS2,,,,,,,,,,,,,
"Bio-Rad Laboratories, Inc.",D-100. Software revision 1.4.1,DC-MDS2-1032A,Apr 27 2021,,,,,,,,,,
MPII-3.7,"Does the device transmit/receive personally identifiable information over an external network (e.g., Internet)?",No,__,,,,,,AR-2,A.15.1.4,,0,
MPII-3.8,Does the device import personally identifiable information via scanning a document?  ,No,__,,,,,,,,,0,
MPII-3.9,Does the device transmit/receive personally identifiable information via a proprietary protocol?,Yes,Note 9,,,,MPII-3.9 Transmission to/from LIS via ASTM protocol. Transmission to Track system via proprietery LATS protocol,,,,,0,
MPII-3.10,"Does the device use any other mechanism to transmit, import or export personally identifiable information? ",No,__,,,,,,AR-2,A.15.1.4,,0,
Management of Private Data notes:,,,,,,,,,AR-2,A.15.1.4,,0,
,,,,,,,,,,,,0,
,,,,,,,,,,,,0,
,AUTOMATIC LOGOFF (ALOF),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,0,
,The device's ability to prevent access and misuse by unauthorized users if device is left idle for a period of time.,,,,,,,,,,,0,
ALOF-1,"Can the device be configured to force reauthorization of logged-in user(s) after a predetermined length of inactivity (e.g., auto-logoff, session lock, password protected screen saver)?",Yes,__,,,,,"Section 5.1, ALOF",AC-12,None,,0,
ALOF-2,Is the length of inactivity time before auto-logoff/screen lock user or administrator configurable?,Yes,Note 10,,,,ALOF-2 -  Configuration screen available for setting the auto-logoff time. ,"Section 5.1, ALOF",AC-11,"A.11.2.8, A.11.2.9",,0,
,,,,,,,,,,,,0,
,,,,,,,,,,,,0,
,AUDIT CONTROLS (AUDT),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,0,
,The ability to reliably audit activity on the device.,,,,,,,,,,,0,
AUDT-1,Can the medical device create additional audit logs or reports beyond standard operating system logs?,Yes,Note 11,,,,"AUDT-1- Audit trail is available as activity log with various audit types such as HW and system states and conditions, user actions such as login, errors and faults. 
Patient and result data are not audited. ","Section 5.2, AUDT",AU-1,"A.5.1.1, A.5.1.2, A.6.1.1, A.12.1.1, A.18.1.1, A.18.2.2",,0,
AUDT-1.1,Does the audit log record a USER ID?,Yes,Note 12,,,,AUDT -1.1- Audit trail include operator name for audited manual operations,,,,,0,
AUDT-1.2,Does other personally identifiable information exist in the audit trail?,No,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2,"Are events recorded in an audit log? If yes, indicate which of the following events are recorded in the audit log:",Yes,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.1,Successful login/logout attempts?,Yes,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.2,Unsuccessful login/logout attempts?,No,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.3,Modification of user privileges?,No,,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.4,Creation/modification/deletion of users?,Yes,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.5,"Presentation of clinical or PII data (e.g. display, print)?",No,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.6,Creation/modification/deletion of data? ,Yes,Note 13,,,,"AUDT-2.6 - Some changes are tracked such as user data, QC lots parameters, barcode change  (unread barcode)","Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.7,"Import/export of data from removable media (e.g. USB drive, external hard drive, DVD)?",Yes,Note 14,,,,"AUDT- 2.7 - The system can restore/backup a database backup from/to a removable media or network drive.
The System can export reports to removeable media","Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.8,Receipt/transmission of data or commands over a network or point-to-point connection?,No,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.8.1,Remote or on-site support?,No,Note 15,,,,"AUDT - 2.8.1 - Remote support is available via BRICare, which has its own audit logs","Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.8.2,Application Programming Interface (API) and similar activity? ,No,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.9,Emergency access?,N/A,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.10,"Other events (e.g., software updates)?",No,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-2.11,Is the audit capability documented in more detail?,Yes,Note 16,,,,AUDT-2.11 - The User Manual provide more details for the dfferent audit entries,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-3,Can the owner/operator define or select which events are recorded in the audit log? ,No,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-4,Is a list of data attributes that are captured in the audit log for an event available?,Yes,Note 17,,,,AUDT-4 - The User Manual provide more details for the dfferent audit entries ,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-4.1,Does the audit log record date/time?,Yes,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-4.1.1,Can date and time be synchronized by Network Time Protocol (NTP) or equivalent time source?,Yes,Note 18,,,,AUDT 4.1.1 Audit trail events date and time are synchronized with Windows OS.,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-5,Can audit log content be exported?,Yes,__,,,,,"Section 5.2, AUDT",AU-2,None,,0,
AUDT-5.1,Via physical media?,Yes,__,,,,,,,,,,
AUDT-5.2,Via IHE Audit Trail and Node Authentication (ATNA) profile to SIEM?,No,__,,,,,,,,,,
AUDT-5.3,"Via Other communications (e.g., external service device, mobile applications)?",Yes,Note 19,,,,AUDT-5.3- Bricare can collect the audit log,,,,,,
AUDT-5.4,Are audit logs encrypted in transit or on storage media? ,No,__,,,,,,,,,,
AUDT-6,Can audit logs be monitored/reviewed by owner/operator?,Yes,__,,,,,,,,,,
AUDT-7,Are audit logs protected from modification?,Yes,Note 20,,,,AUDT-7- Stored in a password protected database,"Section 5.2, AUDT",AU-2,None,,,
AUDT-7.1,Are audit logs protected from access? ,Yes,Note 21,,,,AUDT-7- Stored in a password protected database,,,,,,
AUDT-8,Can audit logs be analyzed by the device?,No,__,,,,,"Section 5.2, AUDT",AU-2,None,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,AUTHORIZATION (AUTH),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,The ability of the device to determine the authorization of users.  ,,,,,,,,,,,,
AUTH-1,Does the device prevent access to unauthorized users through user login requirements or other mechanism?,Yes,Note 22,,,, AUTH - 1 - User login to the OS is perfomed with OS authentication. In addition the software is protected with a login screen with user and password. ,"Section 5.3, AUTH",IA-2,A.9.2.1,,,
AUTH-1.1,"Can the device be configured to use federated credentials management of users for authorization (e.g., LDAP, OAuth)? ",No,__,,,,,"Section 5.3, AUTH",IA-2,A.9.2.1,,,
AUTH-1.2,"Can the customer push group policies to the device (e.g., Active Directory)? ",No,__,,,,,"Section 5.3, AUTH",IA-2,A.9.2.1,,,
AUTH-1.3,"Are any special groups, organizational units, or group policies required?",No,__,,,,,"Section 5.3, AUTH",IA-2,A.9.2.1,,,
AUTH-2,"Can users be assigned different privilege levels based on 'role' (e.g., user, administrator, and/or service, etc.)?",Yes,Note 23,,,," AUTH - 2 -  Each user gets permissions according to his role in the system(Level 1, Level 2, admin etc.).  The available and visible functionality is defined per role.","Section 5.3, AUTH",IA-2,A.9.2.1,,,
AUTH-3,"Can the device owner/operator grant themselves unrestricted administrative privileges (e.g., access operating system or application via local root or administrator account)?  ",No,Note 24,,,,AUTH - 3 - The lab user doesn't have access to the OS. Customer IT could have very limited permissions to the OS (Install security updates). These permissions cannot be altered by the user.,"Section 5.3, AUTH",IA-2,A.9.2.1,,,
AUTH-4,Does the device authorize or control all API access requests?,N/A,__,,,,,"Section 5.3, AUTH",IA-2,A.9.2.1,,,
AUTH-5,"Does the device run in a restricted access mode, or ‘kiosk mode’, by default?",Yes,Note 25,,,,AUTH -5 - The system loads with Windows standard user with restricted user permissions. The application hides Windows and doesn't allow access to the OS from the lab user. ,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CYBER SECURITY PRODUCT UPGRADES (CSUP),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,"The ability of on-site service staff, remote service staff, or authorized customer staff to install/upgrade device's security patches.  ",,,,,,,,,,,,
CSUP-1,"Does the device contain any software or firmware which may require security updates during its operational life, either from the device manufacturer or from a third-party manufacturer of the software/firmware?  If no, answer “N/A” to questions in this section. ",Yes,__,,,,,,,,,,
CSUP-2,"Does the device contain an Operating System? If yes, complete 2.1-2.4.",Yes,__,,,,,,,,,,
CSUP-2.1,Does the device documentation provide instructions for owner/operator installation of patches or software updates?,Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-2.2,Does the device require vendor or vendor-authorized service to install patches or software updates?,No,Note 26,Y/N,Y/N,Y/N,CSUP-2.2- A customer IT user is available and can install Windows security updates approved by Bio-Rad,,,,,,
CSUP-2.3,Does the device have the capability to receive remote installation of patches or software updates?,Yes,Note 27,Y/N,Y/N,Y/N,"CSUP-2.3: Patches can only be applied remotely by Bio-Rad authorized personnel using BRiCare, if installed.",,,,,,
CSUP-2.4,"Does the medical device manufacturer allow security updates from any third-party manufacturers (e.g., Microsoft) to be installed without approval from the manufacturer?",No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-3,"Does the device contain Drivers and Firmware? If yes, complete 3.1-3.4.",Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-3.1,Does the device documentation provide instructions for owner/operator installation of patches or software updates?,No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-3.2,Does the device require vendor or vendor-authorized service to install patches or software updates?,Yes,__,,,,,,,,,,
CSUP-3.3,Does the device have the capability to receive remote installation of patches or software updates?,Yes,Note 28,Y/N,Y/N,Y/N,CSUP-3.3- Remote installation can only be performed via BRiCare,,,,,,
CSUP-3.4,"Does the medical device manufacturer allow security updates from any third-party manufacturers (e.g., Microsoft) to be installed without approval from the manufacturer?",No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-4,"Does the device contain Anti-Malware Software? If yes, complete 4.1-4.4.",Yes,Note 29,Y/N,Y/N,Y/N,CSUP-4-  AppLocker is installed. Cylance can be added.,,,,,,
CSUP-4.1,Does the device documentation provide instructions for owner/operator installation of patches or software updates?,No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-4.2,Does the device require vendor or vendor-authorized service to install patches or software updates?,Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-4.3,Does the device have the capability to receive remote installation of patches or software updates?,Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-4.4,"Does the medical device manufacturer allow security updates from any third-party manufacturers (e.g., Microsoft) to be installed without approval from the manufacturer?",No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-5,"Does the device contain Non-Operating System commercial off-the-shelf components? If yes, complete 5.1-5.4.",Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-5.1,Does the device documentation provide instructions for owner/operator installation of patches or software updates?,No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-5.2,Does the device require vendor or vendor-authorized service to install patches or software updates?,Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-5.3,Does the device have the capability to receive remote installation of patches or software updates?,Yes,Note 30,Y/N,Y/N,Y/N,"CSUP-5.3- Yes, only via BRiCare",,,,,,
CSUP-5.4,"Does the medical device manufacturer allow security updates from any third-party manufacturers (e.g., Microsoft) to be installed without approval from the manufacturer?",No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-6,"Does the device contain other software components (e.g., asset management software, license management)? If yes, please provide details or refernce in notes and complete 6.1-6.4.",No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-6.1,Does the device documentation provide instructions for owner/operator installation of patches or software updates?,N/A,__,,,,,,,,,,
CSUP-6.2,Does the device require vendor or vendor-authorized service to install patches or software updates?,N/A,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-6.3,Does the device have the capability to receive remote installation of patches or software updates?,N/A,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-6.4,"Does the medical device manufacturer allow security updates from any third-party manufacturers (e.g., Microsoft) to be installed without approval from the manufacturer?",N/A,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-7,Does the manufacturer notify the customer when updates are approved for installation?,Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-8,Does the device perform automatic installation of software updates?,No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-9,Does the manufacturer have an approved list of third-party software that can be installed on the device?,Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-10,Can the owner/operator install manufacturer-approved third-party software on the device themselves? ,No,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-10.1,Does the system have mechanism in place to prevent installation of unapproved software?,Yes,__,,,,,,,,,,
CSUP-11,Does the manufacturer have a process in place to assess device vulnerabilities and updates? ,Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-11.1,Does the manufacturer provide customers with review and approval status of updates?,Yes,__,Y/N,Y/N,Y/N,,,,,,,
CSUP-11.2,Is there an update review cycle for the device?,Yes,Note 31,Y/N,Y/N,Y/N,CSUP-11.2: Windows patches are assessed and validated quarterly.,,,,,,
,,,,Device Software,Device Firmware,Security Addons,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,HEALTH DATA DE-IDENTIFICATION (DIDT),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,The ability of the device to directly remove information that allows identification of a person.,,,,,,,,,,,,
DIDT-1,Does the device provide an integral capability to de-identify personally identifiable information?,Yes,Note 32,,,,"DIDT-1- PII data can be deidentified for a database backup, export and reports","Section 5.6, DIDT",None,ISO 27038,,,
DIDT-1.1,Does the device support de-identification profiles that comply with the DICOM standard for de-identification?,N/A,__,,,,,"Section 5.6, DIDT",None,ISO 27038,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,DATA BACKUP AND DISASTER RECOVERY (DTBK),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,"The ability to recover after damage or destruction of device data, hardware, software, or site configuration information.",,,,,,,,,,,,
DTBK-1,Does the device maintain long term primary storage of personally identifiable information / patient information (e.g. PACS)?,Yes,__,,,,,,,,,,
DTBK-2,Does the device have a “factory reset” function to restore the original device settings as provided by the manufacturer?,Yes,__,Y/N,Y/N,Y/N,,"Section 5.7, DTBK",CP-9,A.12.3.1,,,
DTBK-3,Does the device have an integral data backup capability to removable media?,Yes,__,,,,,"Section 5.7, DTBK",CP-9,A.12.3.1,,,
DTBK-4,Does the device have an integral data backup capability to remote storage?,Yes,__,,,,,,,,,,
DTBK-5,"Does the device have a backup capability for system configuration information, patch restoration, and software restoration? ",No,__,,,,,,,,,,
DTBK-6,Does the device provide the capability to check the integrity and authenticity of a backup?,Yes,__,,,,,"Section 5.7, DTBK",CP-9,A.12.3.1,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,EMERGENCY ACCESS (EMRG),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,The ability of the device user to access personally identifiable information in case of a medical emergency situation that requires immediate access to stored personally identifiable information.,,,,,,,,,,,,
EMRG-1,Does the device incorporate an emergency access (i.e. “break-glass”) feature?,No,__,,,,,"Section 5.8, EMRG",SI-17,None,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,HEALTH DATA INTEGRITY AND AUTHENTICITY (IGAU),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,How the device ensures that the stored data on the device has not been altered or destroyed in a non-authorized manner and is from the originator.,,,,,,,,,,,,
IGAU-1,"Does the device provide data integrity checking mechanisms of stored health data (e.g., hash or digital signature)?",Yes,Note 33,,,,IGUA - 1 - The data is protected by persistent database with encrypted connection per instrument. When demographic data is received from LIS a check sum is used for verifiting the integrity of the data. Some of the data is structured  in manner that a potential un-autorized change would trigger an error in the system.,"Section 5.9, IGAU",SC-28,A.18.1.3,,,
IGAU-2,"Does the device provide error/failure protection and recovery mechanisms for stored health data (e.g., RAID-5)? ",Yes,__,,,,,"Section 5.9, IGAU",SC-28,A.18.1.3,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,MALWARE DETECTION/PROTECTION (MLDP),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,"The ability of the device to effectively prevent, detect and remove malicious software (malware).  ",,,,,,,,,,,,
MLDP-1,Is the device capable of hosting executable software? ,Yes,__,,,,,"Section 5.10, MLDP",,,,,
MLDP-2,Does the device support the use of anti-malware software (or other anti-malware mechanism)? Provide details or reference in notes.,Yes,Note 34,,,,MLDP - 2- App Locker is used as on-board security protection for malware. Cylance can installed,"Section 5.10, MLDP",SI-3,A.12.2.1,,,
MLDP-2.1,Does the device include anti-malware software by default? ,Yes,Note 35,,,,MLDP-2.1- AppLocker,"Section 5.10, MLDP",CM-5,"A.9.2.3, A.9.4.5, A.12.1.2, A.12.1.4, A.12.5.1",,,
MLDP-2.2,Does the device have anti-malware software available as an option? ,Yes,Note 36,,,,MLDP-2.2- Cylance as an option,"Section 5.10, MLDP",AU-6,"A.12.4.1, A.16.1.2, A.16.1.4",,,
MLDP-2.3,Does the device documentation allow the owner/operator to install or update anti-malware software? ,No,__,,,,,"Section 5.10, MLDP",CP-10,A.17.1.2,,,
MLDP-2.4,Can the device owner/operator independently (re-)configure anti-malware settings?,No,__,,,,,"Section 5.10, MLDP",AU-2,None,,,
MLDP-2.5,Does notification of malware detection occur in the device user interface?  ,No,__,,,,,,,,,,
MLDP-2.6,Can only manufacturer-authorized persons repair systems when malware has been detected?  ,Yes,__,,,,,,,,,,
MLDP-2.7,Are malware notifications written to a log?,Yes,__,,,,,,,,,,
MLDP-2.8,"Are there any restrictions on anti-malware (e.g., purchase, installation, configuration, scheduling)?",Yes,Note 37,,,,"MLDP-2.8: Only anti-malware that is approved and configured by Bio-Rad may be installed.  It may only be installed by Bio-Rad-authorized personnel.""",,,,,,
MLDP-3,"If the answer to MLDP-2 is NO, and anti-malware cannot be installed on the device, are other compensating controls in place or available?",N/A,__,,,,,"Section 5.10, MLDP",SI-2,"A.12.6.1, A.14.2.2, A.14.2.3, A.16.1.3",,,
MLDP-4,Does the device employ application whitelisting that restricts the software and services that are permitted to be run on the device?,Yes,Note 38,,,,MLDP-4: AppLocker whitelisting is configured.,"Section 5.10, MLDP",SI-3,A.12.2.1,,,
MLDP-5,Does the device employ a host-based intrusion detection/prevention system?,No,__,Y/N,Y/N,Y/N,,"Section 5.10, MLDP",SI-4,None,,,
MLDP-5.1,Can the host-based intrusion detection/prevention system be configured by the customer?,N/A,__,,,,,"Section 5.10, MLDP",CM-7,A.12.5.1,,,
MLDP-5.2,Can a host-based intrusion detection/prevention system be installed by the customer?,N/A,__,,,,,"Section 5.10, MLDP",,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,NODE AUTHENTICATION (NAUT),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,The ability of the device to authenticate communication partners/nodes.  ,,,,,,,,,,,,
NAUT-1,"Does the device provide/support any means of node authentication that assures both the sender and the recipient of data are known to each other and are authorized to receive transferred information (e.g. Web APIs, SMTP, SNMP)?",Yes,Note 39,,,,"NAUT-1 - Shared files, Remote support are the only connections that are not serial and both rely on the lab node authentication","Section 5.11, NAUT",SC-23,None,,,
NAUT-2,"Are network access control mechanisms supported (E.g., does the device have an internal firewall, or use a network connection white list)?",No,__,Y/N,Y/N,Y/N,,"Section 5.11, NAUT",SC-7,"A.13.1.1, A.13.1.3, A.13.2.1,A.14.1.3",,,
NAUT-2.1,Is the firewall ruleset documented and available for review?,No,__,Y/N,Y/N,Y/N,,,,,,,
NAUT-3,Does the device use certificate-based network connection authentication?,No,__,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,CONNECTIVITY CAPABILITIES (CONN),,,,,,,IEC TR 80001-2-2:2012,NIST SP 800-53 Rev. 4,ISO 27002:2013,,,
,All network and removable media connections must be considered in determining appropriate security controls. This section lists connectivity capabilities that may be present on the device.,,,,,,,,,,,,
CONN-1,Does the device have hardware connectivity capabilities?,Yes,Note 40,,,," CONN-1 - USB, Network card, Serial port - RS232",,,,,,
CONN-1.1,Does the device support wireless connections?,No,__,,,,,,,,,,
CONN-1.1.1,Does the device support Wi-Fi?,No,__,,,,,,,,,,
CONN-1.1.2,Does the device support Bluetooth? ,No,__,,,,,,,,,,
CONN-1.1.3,"Does the device support other wireless network connectivity (e.g. LTE, Zigbee, proprietary)?",No,__,,,,,,,,,,
CONN-1.1.4,"Does the device support other wireless connections (e.g., custom RF controls, wireless detectors)? ",No,__,,,,,,,,,,
CONN-1.2,Does the device support physical connections?,Yes,__,,,,,,,,,,
CONN-1.2.1,Does the device have available RJ45 Ethernet ports? ,Yes,__,,,,,,,,,,
CONN-1.2.2,Does the device have available USB ports? ,Yes,__,,,,,,,,,,
